YEAR,Car_Age,MILEAGE,CAR_PRICE,Website
2015,9,72000,18998,CarMax
2021,3,85211,26788,CraigsList
2022,2,36676,29985,CraigsList
2023,1,29840,29840,Carvana
2021,3,52245,29399,CraigsList
2014,10,76844,17880,CraigsList
2018,6,92818,23870,CraigsList
2023,1,29840,32990,Carvana
2014,10,39867,20990,Carvana
2022,2,72284,26590,Carvana
2022,2,40038,31590,Carvana
2015,9,107230,15998,CarMax
2024,0,5,46964,CraigsList
2024,0,1,39999,CraigsList
2009,15,137248,8999,CraigsList
2021,3,91909,28988,CraigsList
2021,3,52245,29399,CraigsList
